t,phase,role,pid,rss_kb,pss_kb,hwm_kb,vsz_kb,threads,cpu_jiffies,mem_available_kb
284.2,measure,java,235948,1054360,1050907,1054488,5119612,30,2355,1402096
285.2,measure,java,235948,1054360,1050907,1054488,5119612,30,2355,1402092
286.2,measure,java,235948,1054360,1050907,1054488,5119612,30,2355,1402092
287.2,measure,java,235948,1054364,1050911,1054488,5119612,30,2355,1402092
288.2,measure,java,235948,1054368,1050915,1054488,5119612,30,2356,1402856
289.2,measure,java,235948,1054372,1050919,1054488,5119612,30,2357,1402860
290.2,measure,java,235948,1054372,1050919,1054488,5119612,30,2358,1402856
291.3,measure,java,235948,1054372,1050919,1054488,5119612,30,2358,1402856
292.3,measure,java,235948,1054372,1050919,1054488,5119612,30,2358,1402856
293.3,measure,java,235948,1054372,1050919,1054488,5119612,30,2358,1402708
294.3,measure,java,235948,1054372,1050919,1054488,5119612,30,2358,1402352
295.3,measure,java,235948,1054372,1050919,1054488,5119612,30,2358,1402360
296.3,measure,java,235948,1054372,1050919,1054488,5119612,30,2358,1402360
297.3,measure,java,235948,1054372,1050919,1054488,5119612,30,2358,1402360
298.3,measure,java,235948,1054372,1050919,1054488,5119612,30,2359,1402364
299.3,measure,java,235948,1054372,1050919,1054488,5119612,30,2359,1402372
300.4,measure,java,235948,1054372,1050919,1054488,5119612,30,2359,1402368
301.4,measure,java,235948,1054372,1050919,1054488,5119612,30,2359,1402368
302.4,measure,java,235948,1054372,1050919,1054488,5119612,30,2359,1402368
303.4,measure,java,235948,1054372,1050919,1054488,5119612,30,2359,1399848
304.4,measure,java,235948,1054372,1050919,1054488,5119612,30,2359,1399848
305.4,measure,java,235948,1054372,1050919,1054488,5119612,30,2360,1399848
306.4,measure,java,235948,1054372,1050919,1054488,5119612,30,2360,1399848
307.4,measure,java,235948,1054372,1050919,1054488,5119612,30,2361,1399848
308.4,measure,java,235948,1054372,1050919,1054488,5119612,30,2361,1400780
309.5,measure,java,235948,1054372,1050919,1054488,5119612,30,2361,1403404
310.5,measure,java,235948,1054372,1050919,1054488,5119612,30,2361,1403352
311.5,measure,java,235948,1054372,1050919,1054488,5119612,30,2361,1403352
312.5,measure,java,235948,1054372,1050919,1054488,5119612,30,2361,1403352
313.5,measure,java,235948,1054372,1050919,1054488,5119612,30,2361,1403360
314.5,measure,java,235948,1054372,1050919,1054488,5119612,30,2361,1403360
315.5,measure,java,235948,1054372,1050919,1054488,5119612,30,2362,1403360
316.5,measure,java,235948,1054372,1050919,1054488,5119612,30,2362,1403360
317.5,measure,java,235948,1054372,1050919,1054488,5119612,30,2362,1403364
318.6,measure,java,235948,1054372,1050919,1054488,5119612,30,2362,1403364
319.6,measure,java,235948,1054372,1050919,1054488,5119612,30,2362,1395220
320.6,measure,java,235948,1054372,1050919,1054488,5119612,30,2362,1404452
321.6,measure,java,235948,1054372,1050919,1054488,5119612,30,2362,1404300
322.6,measure,java,235948,1054372,1050919,1054488,5119612,30,2362,1404300
323.6,measure,java,235948,1054372,1050919,1054488,5119612,30,2363,1404804
324.6,measure,java,235948,1054372,1050919,1054488,5119612,30,2363,1404056
325.6,measure,java,235948,1054372,1050919,1054488,5119612,30,2363,1404056
326.6,measure,java,235948,1054372,1050919,1054488,5119612,30,2363,1403832
327.7,measure,java,235948,1054372,1050919,1054488,5119612,30,2363,1403832
328.7,measure,java,235948,1054372,1050919,1054488,5119612,30,2363,1403840
329.7,measure,java,235948,1054372,1050919,1054488,5119612,30,2363,1403840
330.7,measure,java,235948,1054372,1050919,1054488,5119612,30,2364,1402656
331.7,measure,java,235948,1054372,1050919,1054488,5119612,30,2364,1402332
332.7,measure,java,235948,1054372,1050919,1054488,5119612,30,2364,1401932
333.7,measure,java,235948,1054376,1050922,1054488,5119612,30,2364,1402972
334.7,measure,java,235948,1054376,1050922,1054488,5119612,30,2364,1402104
335.7,measure,java,235948,1054376,1050922,1054488,5119612,30,2365,1401984
336.8,measure,java,235948,1054376,1050922,1054488,5119612,30,2365,1401984
337.8,measure,java,235948,1054376,1050922,1054488,5119612,30,2365,1401992
338.8,measure,java,235948,1054376,1050922,1054488,5119612,30,2365,1401992
339.8,measure,java,235948,1054376,1050922,1054488,5119612,30,2365,1401992
340.8,measure,java,235948,1054376,1050922,1054488,5119612,30,2365,1401996
341.8,measure,java,235948,1054376,1050922,1054488,5119612,30,2365,1401996
342.8,measure,java,235948,1054376,1050922,1054488,5119612,30,2366,1402444
343.8,measure,java,235948,1054376,1050922,1054488,5119612,30,2366,1402444
344.8,measure,java,235948,1054376,1050922,1054488,5119612,30,2366,1402920
345.9,measure,java,235948,1054376,1050922,1054488,5119612,30,2366,1402920
346.9,measure,java,235948,1054376,1050922,1054488,5119612,30,2366,1402704
347.9,measure,java,235948,1054376,1050922,1054488,5119612,30,2366,1402704
348.9,measure,java,235948,1054376,1050922,1054488,5119612,30,2366,1402708
349.9,measure,java,235948,1054376,1050922,1054488,5119612,30,2367,1402708
350.9,measure,java,235948,1054376,1050922,1054488,5119612,30,2367,1402704
351.9,measure,java,235948,1054376,1050922,1054488,5119612,30,2367,1403024
352.9,measure,java,235948,1054376,1050922,1054488,5119612,30,2367,1402884
354.0,measure,java,235948,1054376,1050923,1054488,5119612,30,2367,1402620
355.0,measure,java,235948,1054376,1050923,1054488,5119612,30,2367,1402620
356.0,measure,java,235948,1054376,1050923,1054488,5119612,30,2367,1402472
357.0,measure,java,235948,1054376,1050923,1054488,5119612,30,2367,1402964
358.0,measure,java,235948,1054376,1050923,1054488,5119612,30,2368,1402224
359.0,measure,java,235948,1054376,1050923,1054488,5119612,30,2368,1401764
360.0,measure,java,235948,1054376,1050923,1054488,5119612,30,2368,1401236
361.0,measure,java,235948,1054376,1050923,1054488,5119612,30,2368,1401236
362.0,measure,java,235948,1054376,1050923,1054488,5119612,30,2368,1400732
363.1,measure,java,235948,1054376,1050923,1054488,5119612,30,2368,1400228
364.1,measure,java,235948,1054376,1050923,1054488,5119612,30,2369,1400228
365.1,measure,java,235948,1054376,1050923,1054488,5119612,30,2369,1395196
366.1,measure,java,235948,1054376,1050923,1054488,5119612,30,2369,1395196
367.1,measure,java,235948,1054376,1050923,1054488,5119612,30,2369,1395196
